Género;Rango_Etario;Localidad;Situación_país;AprobaciónVázquez;CambiosUy;AprobaciónPeña;CambiosLava;Voto2014;VotoInternas;Proyección2019;PrioridadesNacional;Diputados;Senado;InterésEnPolítica;IdentificaciónIdeológica;NivelEstudios;SituaciónEconómica;Intendente;Televisión;Radio;Ponderador
Femenino;de 23 a 29;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Partido Colorado;Partido Colorado;Voto principalmente a quiénes integran la lista al senado;Robert Bouvier;Ernesto Talvi;Me gusta;Ultra Derecha;Secundaria Incompleta;Regular;Luis Carrese;SI;SI;0,7254
Masculino;de 40 a 50;Otra Zona urbana;Regular;Desaprueba;Seguridad Pública;Aprueba;Servicios de Salud;Frente Amplio;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Gastón Elola;Juan Sartori;Me gusta mucho;Centro Derecha;Terciario Incompleto;Regular;Gastón Elola;NO;No;1,288
Femenino;de 65 a más;Batlle y Ordóñez;Buena;Aprueba;Educación;Ni aprueba ni desaprueba;Los Políticos;Frente Amplio;No Voté;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Ninguno;Óscar Andrade;Me interesa;Izquierda Moderada;Secundaria Completa;Buena;Daniel Ximénez;SI;No;3,5754
Masculino;de 30 a 39;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Vivienda;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Carol Aviaga;Luis Lacalle Pou;Me gusta mucho;Centro;Secundaria Incompleta;Regular;Mario García;SI;SI;1,6652
Femenino;de 18 a 22;Minas;Mala;Ni aprueba ni desaprueba;Salud;Ni aprueba ni desaprueba;Falta de Empleo;No Voté;No Voté;Todavía no lo he decidido;No lo sé;Alexandra Inzaurralde;Danilo Astori;Nada;Ultra Izquierda;Secundaria Incompleta;Mala;No lo sé;NO;No;1,3806
Femenino;de 18 a 22;Minas;Regular;Ni aprueba ni desaprueba;Salud;Ni aprueba ni desaprueba;Falta de Empleo;No Voté;No Voté;Todavía no lo he decidido;No lo sé;Alexandra Inzaurralde;Danilo Astori;Nada;Ultra Izquierda;Secundaria Incompleta;Regular;Daniel Ximénez;NO;No;1,3806
Femenino;de 30 a 39;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;No Voté;No Voté;Todavía no lo he decidido;No lo sé;Ninguno;Ninguno;Nada;Ultra Izquierda;Primaria Completa;Regular;No lo sé;NO;No;1,239
Masculino;de 51 a 64;Minas;Buena;Aprueba;Medio Ambiente;Desaprueba;Servicios Públicos;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes van a la diputación;Javier Umpiérrez;José Mujica;Me gusta mucho;Izquierda Moderada;Secundaria Incompleta;Muy Buena;Pablo Fuentes;NO;SI;0,3654
Femenino;de 65 a más;Otra Zona urbana;Regular;Ni aprueba ni desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;No Voté;Frente Amplio;Voto principalmente a quiénes integran la lista al senado;Gastón Elola;Daniel Martínez;Me interesa;Centro;Secundaria Incompleta;Regular;Beatríz Leis;SI;SI;3,5754
Femenino;de 65 a más;Minas;Buena;Aprueba;Educación;Desaprueba;Los Políticos;Frente Amplio;Partido Nacional;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Javier Umpiérrez;José Mujica;Me gusta;Centro Izquierda;Secundaria Completa;Buena;No lo sé;NO;No;1,8584
Femenino;de 65 a más;Minas;Mala;Desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Ninguno;Julio María Sanguinetti;Me gusta mucho;Centro;Terciario Incompleto;Buena;No lo sé;NO;No;1,8786
Masculino;de 65 a más;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Seguridad Pública;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Carol Aviaga;Me interesa;Centro;Universitario Completo;Buena;Ninguno;NO;No;2,1804
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Estrella Cabana;Jorge Larrañaga;Me gusta mucho;Centro Derecha;Secundaria Incompleta;Regular;Ninguno;SI;No;0,5152
Masculino;de 30 a 39;Minas;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Juan Sartori;Algo;Centro;Secundaria Incompleta;Mala;Mario García;NO;No;1,6652
Femenino;de 30 a 39;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Bajos Salarios;Partido Nacional;No Voté;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Andrea Aviaga;Juan Sartori;Me gusta mucho;Ultra Derecha;Primaria Completa;Muy Mala;Mario García;NO;SI;1,239
Femenino;de 40 a 50;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Seguridad Pública;Otro;No Voté;Ninguno;No lo sé;No lo Sé;No lo sé;Poco;Izquierda Moderada;Secundaria Incompleta;Mala;No lo sé;NO;No;0,9735
Femenino;de 30 a 39;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Oferta Educativa;Partido Nacional;Partido Nacional;Partido Nacional;Soy Indiferente;Andrea Aviaga;Juan Sartori;Poco;Ultra Derecha;Terciario Incompleto;Regular;Mario García;SI;SI;0,644
Femenino;de 40 a 50;Minas;Mala;Ni aprueba ni desaprueba;Jubilaciones y Pensiones;Ni aprueba ni desaprueba;Falta de Empleo;En Blanco / Anulado;No Voté;Ninguno;No lo sé;Alexandra Inzaurralde;Juan Sartori;Casi nada;Izquierda Dura;Secundaria Incompleta;Regular;No lo sé;NO;No;0,9735
Femenino;de 30 a 39;Minas;Regular;Desaprueba;Empleo;Ni aprueba ni desaprueba;Bajos Salarios;Partido Colorado;No Voté;Partido Colorado;Voto principalmente a quiénes van a la diputación;Gustavo Risso;Ernesto Talvi;Poco;Centro Derecha;Secundaria Incompleta;Regular;Daniel Ximénez;NO;No;1,239
Femenino;de 30 a 39;Minas;Buena;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;No Voté;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Daniel Martínez;Nada;Ultra Izquierda;Primaria Completa;Regular;Mario García;SI;SI;1,239
Femenino;de 65 a más;Minas;Regular;Desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Todavía no lo he decidido;Voto principalmente a quiénes integran la lista al senado;Carol Aviaga;Julio María Sanguinetti;Me gusta mucho;Centro;Primaria Completa;Regular;Luis Carrese;NO;No;1,8786
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Educación;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Ninguno;Luis Lacalle Pou;Nada;Ultra Derecha;Terciario Incompleto;Mala;No lo sé;NO;No;0,5152
Femenino;de 30 a 39;Minas;Mala;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;No Voté;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Ninguno;Luis Lacalle Pou;Nada;Ultra Derecha;Secundaria Incompleta;Regular;Mario García;NO;No;1,239
Femenino;de 51 a 64;Minas;Regular;Aprueba;Salud;Desaprueba;Servicios de Salud;Frente Amplio;No Voté;Frente Amplio;No pienso votar;Javier Umpiérrez;José Mujica;Nada;Ultra Izquierda;Primaria Completa;Regular;Pablo Fuentes;NO;No;0,9912
Femenino;de 30 a 39;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Luis Lacalle Pou;Me gusta;Derecha Moderada;Secundaria Incompleta;Regular;Mario García;NO;No;0,644
Masculino;de 18 a 22;Minas;Regular;Aprueba;Educación;Desaprueba;Los Políticos;No Voté;Frente Amplio;Frente Amplio;No lo sé;Javier Umpiérrez;Óscar Andrade;Me gusta mucho;Ultra Izquierda;Universitario Incompleto;Regular;Daniel Ximénez;NO;No;0,696
Masculino;de 51 a 64;Varela;Mala;Desaprueba;Seguridad Pública;Aprueba;Seguridad Pública;Partido Nacional;Partido Nacional;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Ninguno;Gustavo Zubía;Me gusta mucho;Ultra Derecha;Secundaria Completa;Buena;Ninguno;SI;SI;1,1592
Femenino;de 30 a 39;Pirarajá;Regular;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;No Voté;Partido de la Gente;Soy Indiferente;Alexandra Inzaurralde;Jorge Larrañaga;Casi nada;Centro;Secundaria Incompleta;Mala;Daniel Ximénez;NO;No;1,239
Femenino;de 40 a 50;Minas;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Luis Lacalle Pou;Me gusta;Derecha Dura;Primaria Completa;Mala;Mario García;SI;SI;0,506
Femenino;de 40 a 50;Minas;Muy Buena;Aprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Javier Umpiérrez;Óscar Andrade;Me gusta mucho;Izquierda Moderada;Secundaria Completa;Buena;Pablo Fuentes;NO;SI;0,1595
Femenino;de 30 a 39;Minas;Mala;Desaprueba;Educación;Aprueba;Seguridad Pública;Partido Nacional;No Voté;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Jorge Larrañaga;Me gusta mucho;Ultra Derecha;Terciario Incompleto;Mala;Mario García;NO;No;1,239
Femenino;de 30 a 39;Varela;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;No Voté;Partido Nacional;Voto principalmente a quiénes van a la diputación;No lo Sé;Jorge Larrañaga;Algo;Derecha Dura;Secundaria Incompleta;Regular;Mario García;NO;SI;1,239
Femenino;de 65 a más;Minas;Mala;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;No lo sé;Alexandra Inzaurralde;Jorge Larrañaga;Algo;Derecha Dura;Secundaria Incompleta;Regular;Mario García;SI;SI;1,8584
Femenino;de 51 a 64;Varela;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Colorado;No Voté;Cabildo Abierto;Voto principalmente a quiénes van a la diputación;Carlos Urtiberea;Gustavo Salle;Algo;Centro Derecha;Terciario Incompleto;Mala;No lo sé;NO;No;0,9912
Femenino;de 30 a 39;Minas;Muy Mala;Desaprueba;Salud;Aprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Gustavo Zubía;Me gusta;Derecha Moderada;Secundaria Completa;Mala;Mario García;SI;No;0,266
Femenino;de 30 a 39;Minas;Buena;Aprueba;Políticas Sociales;Ni aprueba ni desaprueba;Seguridad Pública;Frente Amplio;Partido Nacional;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Julio María Sanguinetti;Me gusta mucho;Centro;Universitario Completo;Regular;Luis Carrese;NO;No;0,644
Femenino;de 18 a 22;Minas;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;No Voté;No Voté;Todavía no lo he decidido;No lo sé;Ninguno;Ernesto Talvi;Casi nada;Ultra Izquierda;Secundaria Incompleta;Regular;Mario García;NO;No;1,3806
Masculino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;No Voté;Blanco / Anulado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Javier Umpiérrez;Ernesto Talvi;Casi nada;Izquierda Moderada;Primaria Completa;Muy Mala;Daniel Ximénez;SI;No;4,816
Masculino;de 40 a 50;Minas;Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Carlos Urtiberea;Juan Sartori;Me gusta mucho;Centro;Terciario Incompleto;Buena;Marcelo Rodríguez;SI;SI;1,288
Masculino;de 40 a 50;Minas;Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Colorado;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Gustavo Zubía;Nada;Centro Derecha;Universitario Completo;Regular;No lo sé;NO;No;0,532
Femenino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Empleo;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;No lo sé;Carol Aviaga;Luis Lacalle Pou;Casi nada;Derecha Dura;Primaria Completa;Regular;Mario García;NO;No;0,506
Masculino;de 51 a 64;Minas;Buena;Ni aprueba ni desaprueba;Educación;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Jorge Larrañaga;Me gusta mucho;Ultra Izquierda;Primaria Completa;Regular;Daniel Ximénez;SI;SI;1,1592
Femenino;de 23 a 29;Minas;Regular;Desaprueba;Seguridad Pública;Desaprueba;Seguridad Pública;En Blanco / Anulado;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;No lo Sé;No lo sé;Nada;Centro;Secundaria Incompleta;Muy Mala;Mario García;NO;No;0,2964
Femenino;de 40 a 50;Minas;Regular;Aprueba;Salud;Ni aprueba ni desaprueba;Servicios de Salud;Frente Amplio;No Voté;Frente Amplio;No lo sé;Javier Umpiérrez;Danilo Astori;Algo;Centro Izquierda;Secundaria Incompleta;Mala;Daniel Ximénez;SI;No;0,9735
Femenino;de 40 a 50;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Ninguno;Gustavo Salle;Me gusta mucho;Ultra Derecha;Secundaria Completa;Muy Mala;Ninguno;NO;No;0,209
Masculino;de 65 a más;Minas;Buena;Aprueba;Educación;Desaprueba;Seguridad Pública;Frente Amplio;Frente Amplio;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Javier Umpiérrez;Óscar Andrade;Me gusta mucho;Centro;Secundaria Completa;Buena;Daniel Ximénez;NO;SI;0,6873
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Educación;Aprueba;Seguridad Pública;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Gastón Elola;Luis Lacalle Pou;Me gusta mucho;Ultra Derecha;Secundaria Incompleta;Regular;Gastón Elola;SI;No;0,5152
Femenino;de 40 a 50;Minas;Mala;Desaprueba;Seguridad Pública;No lo sé;Seguridad Pública;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Ninguno;Gustavo Zubía;Me gusta;Derecha Moderada;Terciario Incompleto;Buena;Ninguno;SI;SI;0,506
Femenino;de 40 a 50;Minas;Regular;Aprueba;Educación;Desaprueba;Servicios de Salud;Frente Amplio;No Voté;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Daniel Martínez;Nada;Ultra Izquierda;Secundaria Completa;Regular;Daniel Ximénez;NO;No;0,9735
Femenino;de 40 a 50;Mariscala;Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Partido de la Gente;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Gustavo Zubía;Me interesa;Ultra Derecha;Secundaria Incompleta;Regular;Mario García;SI;No;0,264
Masculino;de 51 a 64;Minas;Mala;Desaprueba;Salud;Aprueba;Falta de Empleo;Partido Nacional;No Voté;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;Ernesto Talvi;Algo;Derecha Moderada;Terciario Completo;Regular;Mario García;NO;No;2,2302
Femenino;de 30 a 39;Mariscala;Mala;Ni aprueba ni desaprueba;Seguridad Pública;No lo sé;Falta de Empleo;En Blanco / Anulado;Blanco / Anulado;Partido Nacional;No lo sé;No lo Sé;No lo sé;Nada;Ultra Izquierda;Secundaria Incompleta;Regular;No lo sé;NO;No;2,408
Femenino;de 18 a 22;Minas;Mala;Aprueba;Empleo;Aprueba;Seguridad Pública;No Voté;Partido de la Gente;Todavía no lo he decidido;No lo sé;Gastón Elola;Juan Sartori;Poco;Centro;Secundaria Incompleta;Regular;Ninguno;SI;No;0,3744
Femenino;de 30 a 39;Minas;Muy Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Independiente;Partido Nacional;Partido de la Gente;Soy Indiferente;Ninguno;Ninguno;Algo;Centro Izquierda;Primaria Completa;Muy Mala;Ninguno;NO;No;0,644
Femenino;de 30 a 39;Varela;Mala;Ni aprueba ni desaprueba;Empleo;Desaprueba;Los Políticos;Partido Nacional;No Voté;Frente Amplio;Voto principalmente a quiénes van a la diputación;Ninguno;Julio María Sanguinetti;Nada;Centro;Secundaria Completa;Mala;Mario García;NO;No;1,239
Masculino;de 51 a 64;Minas;Buena;Ni aprueba ni desaprueba;Educación;Ni aprueba ni desaprueba;Vivienda;Otro;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Jorge Diano;Juan Sartori;Me gusta;Centro Derecha;Secundaria Incompleta;Regular;No lo sé;SI;SI;1,1592
Femenino;de 51 a 64;Minas;Buena;Aprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Blanco / Anulado;Ninguno;No pienso votar;Ernesto Cesar;Carolina Cosse;Me gusta;Centro;Terciario Completo;Buena;Daniel Ximénez;NO;No;1,9264
Femenino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Seguridad Pública;Frente Amplio;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;No lo Sé;Ninguno;Me interesa;Centro;Secundaria Incompleta;Buena;Mario García;NO;No;0,209
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Cabildo Abierto;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;No lo sé;Me interesa;Derecha Dura;Secundaria Incompleta;Regular;Mario García;SI;SI;0,5152
Femenino;de 30 a 39;Minas;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;No lo sé;Ninguno;Julio María Sanguinetti;Me interesa;Centro Derecha;Terciario Completo;Buena;Ninguno;NO;No;0,651
Masculino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Voto principalmente a quiénes van a la diputación;Ninguno;Gustavo Salle;Me gusta mucho;Centro;Terciario Completo;Regular;Ninguno;NO;No;0,4788
Masculino;de 18 a 22;Minas;Muy Mala;Ni aprueba ni desaprueba;Empleo;Aprueba;Bajos Salarios;En Blanco / Anulado;No Voté;Partido de la Gente;No lo sé;No lo Sé;Julio María Sanguinetti;Casi nada;Centro;Secundaria Completa;Regular;Mario García;NO;No;4,248
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Luis Lacalle Pou;Me gusta mucho;Ultra Derecha;Secundaria Completa;Buena;Mario García;NO;No;0,5152
Femenino;de 65 a más;Otra Zona urbana;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;No lo sé;Robert Bouvier;Gustavo Zubía;Me gusta;Centro Derecha;Secundaria Completa;Buena;Luis Carrese;NO;No;1,8786
Femenino;de 23 a 29;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Seguridad Pública;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;No lo Sé;No lo sé;Casi nada;Centro;Terciario Completo;Mala;No lo sé;NO;No;0,7176
Femenino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Aprueba;Seguridad Pública;En Blanco / Anulado;Cabildo Abierto;Cabildo Abierto;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;No lo sé;Nada;Ultra Derecha;Secundaria Completa;Mala;No lo sé;SI;No;0,2128
Masculino;de 51 a 64;Mariscala;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Andrea Aviaga;Jorge Larrañaga;Me interesa;Centro Derecha;Terciario Completo;Mala;Mario García;NO;SI;1,1592
Femenino;de 51 a 64;Minas;Regular;Desaprueba;Vivienda;Desaprueba;Falta de Empleo;Frente Amplio;No Voté;Ninguno;No pienso votar;Ninguno;No lo sé;Casi nada;Ultra Izquierda;Secundaria Incompleta;Regular;Ninguno;NO;No;0,9912
Femenino;de 40 a 50;Minas;Muy Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Ninguno;Ninguno;Poco;Derecha Dura;Primaria Completa;Regular;No lo sé;NO;No;0,209
Femenino;de 40 a 50;Solis;Mala;Ni aprueba ni desaprueba;Salud;Aprueba;Seguridad Pública;Partido Nacional;No Voté;Todavía no lo he decidido;Solo me interesa elegir al candidato a Presidente;No lo Sé;No lo sé;Poco;Centro;Secundaria Incompleta;Regular;No lo sé;NO;No;0,9735
Femenino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Políticas Sociales;Desaprueba;Servicios de Salud;Partido Nacional;No Voté;Todavía no lo he decidido;Solo me interesa elegir al candidato a Presidente;No lo Sé;No lo sé;Poco;Izquierda Moderada;Secundaria Incompleta;Mala;No lo sé;NO;SI;0,9735
Femenino;de 23 a 29;Minas;Regular;Desaprueba;Empleo;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Colorado;Solo me interesa elegir al candidato a Presidente;No lo Sé;Ernesto Talvi;Nada;Ultra Izquierda;Universitario Incompleto;Regular;Gastón Elola;NO;No;0,7176
Femenino;de 40 a 50;Otra zona rural;Mala;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;No Voté;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Gustavo Zubía;Me interesa;Centro;Secundaria Incompleta;Regular;Daniel Ximénez;NO;SI;0,9735
Masculino;de 65 a más;Minas;Buena;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Independiente;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Luis Lacalle Pou;Me gusta mucho;Ultra Derecha;Primaria Completa;Buena;Mario García;SI;SI;2,1804
Femenino;de 51 a 64;Minas;Buena;Aprueba;Vivienda;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes van a la diputación;Javier Umpiérrez;Mario Bergara;Me gusta;Centro Izquierda;Secundaria Incompleta;Buena;Pablo Fuentes;NO;SI;0,1624
Masculino;de 40 a 50;Minas;Muy Mala;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Gustavo Zubía;Poco;Ultra Derecha;Secundaria Incompleta;Regular;Mario García;NO;No;1,288
Femenino;de 40 a 50;Minas;Regular;Desaprueba;Seguridad Pública;Aprueba;Bajos Salarios;Partido Colorado;Partido Colorado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Ernesto Talvi;Algo;Derecha Dura;Universitario Incompleto;Regular;Luis Carrese;NO;SI;0,5115
Femenino;de 51 a 64;Minas;Muy Buena;Aprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Frente Amplio;Voto principalmente a quiénes van a la diputación;Javier Umpiérrez;José Mujica;Casi nada;Centro;Terciario Completo;Regular;Daniel Ximénez;NO;No;0,1624
Femenino;de 65 a más;Minas;Muy Mala;Desaprueba;Empleo;Ni aprueba ni desaprueba;Vivienda;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Robert Bouvier;Juan Sartori;Me gusta mucho;Centro Derecha;Terciario Incompleto;Buena;Mario García;SI;SI;1,8584
Femenino;de 51 a 64;Minas;Muy Mala;Ni aprueba ni desaprueba;Jubilaciones y Pensiones;Ni aprueba ni desaprueba;Falta de Empleo;No Voté;No Voté;Partido Independiente;No pienso votar;Gustavo Risso;Julio María Sanguinetti;Nada;Ultra Izquierda;Secundaria Incompleta;Muy Mala;Daniel Ximénez;SI;SI;0,9912
Femenino;de 40 a 50;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Gustavo Risso;Ernesto Talvi;Algo;Ultra Derecha;Secundaria Incompleta;Mala;Mario García;NO;No;0,506
Masculino;de 65 a más;Otra zona rural;Mala;Desaprueba;Educación;Desaprueba;Servicios Públicos;Partido Colorado;Partido Colorado;Cabildo Abierto;Voto principalmente a quiénes integran la lista al senado;Robert Bouvier;Julio María Sanguinetti;Nada;Centro Derecha;Secundaria Completa;Mala;Luis Carrese;NO;No;2,2041
Masculino;de 23 a 29;Batlle y Ordóñez;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Otro;Partido de la Gente;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;No lo Sé;Juan Sartori;Me interesa;Derecha Moderada;Secundaria Completa;Regular;Daniel Ximénez;NO;No;1,1088
Femenino;de 40 a 50;Batlle y Ordóñez;Regular;Ni aprueba ni desaprueba;Empleo;Desaprueba;Falta de Empleo;No Voté;Blanco / Anulado;Todavía no lo he decidido;No lo sé;No lo Sé;Juan Sartori;Nada;Ultra Izquierda;Secundaria Incompleta;Regular;No lo sé;NO;SI;1,892
Masculino;de 40 a 50;Minas;Regular;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Seguridad Pública;En Blanco / Anulado;Cabildo Abierto;Cabildo Abierto;Voto principalmente a quiénes van a la diputación;Javier Umpiérrez;No lo sé;Nada;Ultra Izquierda;Primaria Completa;Regular;Ninguno;NO;SI;0,532
Femenino;de 51 a 64;Mariscala;Muy Mala;Desaprueba;Educación;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Voto principalmente a quiénes integran la lista al senado;Carol Aviaga;Ernesto Talvi;Algo;Centro Derecha;Secundaria Incompleta;Mala;Tomás Casas;NO;No;0,5208
